"R0000100","R0153800","R0153900","R0154000","R0154100","R0154200","R0154300","R0154400","R0154500","R0173600","R0214700","R0214800","R0799500","R0799600","R0799700","R0799800","R0799900","R0800000","R0800100","R0800200","R2364600","R2364700","R2364800","R2364900","R2365000","R2365100","R2365200","R2365300","R8418500","R8418501","R8418502","R8418503","R8418504","R8418505","R8418506","R8418507"
78,2,3,2,2,3,2,3,2,5,3,2,2,2,2,2,3,2,3,2,2,2,2,2,3,2,3,2,3,3,3,8,8,2,2,8
79,2,2,1,2,1,2,3,2,1,3,1,2,2,2,2,2,1,4,1,2,2,2,3,3,2,4,2,4,4,4,4,2,4,1,3
80,1,1,3,2,3,1,3,2,1,3,1,2,2,1,1,3,1,4,2,-5,-5,-5,-5,-5,-5,-5,-5,4,3,4,4,2,3,1,3
81,1,2,3,2,2,2,3,2,1,3,1,4,2,-2,4,3,2,3,4,1,1,3,1,3,3,4,2,4,2,9,3,3,8,2,2
82,1,2,2,2,4,2,3,2,3,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
83,3,3,2,1,3,3,3,3,3,2,1,2,2,4,1,4,4,4,1,1,1,4,1,4,1,4,4,3,3,2,3,2,2,2,3
84,2,2,4,2,4,2,4,3,3,2,1,2,2,3,3,4,3,1,2,2,2,3,2,2,2,3,2,4,3,2,3,1,4,2,4
85,4,2,2,2,4,4,3,3,3,2,1,4,4,4,-2,4,1,4,4,-5,-5,-5,-5,-5,-5,-5,-5,8,3,2,3,2,3,2,2
86,3,2,3,2,3,4,2,4,7,2,2,1,2,4,1,3,2,3,2,1,1,4,-3,2,2,4,2,3,2,2,2,2,2,3,2
87,1,2,3,2,3,3,3,2,3,2,1,2,2,2,2,3,2,3,2,2,2,3,2,3,-2,3,2,4,4,4,4,1,4,1,4
88,1,1,2,2,3,2,4,2,3,2,1,1,1,2,1,3,2,4,2,1,1,3,1,3,2,3,2,4,4,3,4,2,3,1,3
89,1,1,3,1,4,1,4,1,7,2,2,1,1,2,1,3,1,4,1,1,1,2,1,4,1,4,1,4,4,3,4,1,4,1,4
90,2,2,3,2,3,3,2,2,1,3,1,2,2,3,2,2,2,3,2,1,2,2,2,3,2,4,2,4,3,3,3,3,3,2,3
91,2,2,2,1,2,1,4,2,5,3,2,2,2,2,2,3,2,4,2,1,1,4,2,4,1,4,1,4,3,3,3,1,4,1,3
92,1,1,4,1,2,3,4,1,5,3,2,2,2,2,2,3,1,4,2,1,2,3,2,4,2,4,2,4,4,1,4,2,3,1,4
93,2,2,3,4,3,3,3,2,1,3,1,3,3,2,3,4,3,3,2,2,2,4,2,4,2,4,2,2,2,4,1,1,8,2,8
94,2,2,3,2,4,3,2,2,1,3,1,2,2,3,2,3,2,3,2,2,2,3,-2,3,2,3,-2,2,3,2,1,2,2,2,1
95,2,2,1,2,2,2,3,2,5,3,2,2,2,3,2,3,2,3,2,1,2,2,2,2,1,4,2,4,4,2,3,2,3,1,3
