"R0000100","R0153800","R0153900","R0154000","R0154100","R0154200","R0154300","R0154400","R0154500","R0173600","R0214700","R0214800","R0799500","R0799600","R0799700","R0799800","R0799900","R0800000","R0800100","R0800200","R2364600","R2364700","R2364800","R2364900","R2365000","R2365100","R2365200","R2365300","R8418500","R8418501","R8418502","R8418503","R8418504","R8418505","R8418506","R8418507"
5463,3,3,2,4,3,2,2,3,2,3,1,4,4,-2,3,4,4,1,4,3,3,2,3,2,3,3,3,3,3,3,3,1,2,3,3
5464,2,2,2,3,4,2,2,2,7,2,2,1,1,3,-2,3,2,4,1,1,2,3,3,3,2,4,2,4,3,1,2,2,3,3,4
5465,2,2,2,4,4,2,2,2,7,2,2,3,3,-2,-2,3,3,3,3,2,3,3,2,2,2,2,3,2,2,3,2,2,2,2,2
5466,2,2,2,4,4,2,2,2,7,2,2,2,2,2,2,3,2,3,3,1,1,1,1,4,1,4,-3,-5,-5,-5,-5,-5,-5,-5,-5
5467,2,2,2,4,4,2,2,2,7,2,2,2,2,-2,-2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,2,3,1,2,1,3
5468,3,3,2,2,4,3,2,2,2,3,1,2,2,3,3,3,3,2,3,2,3,3,2,3,3,3,-2,8,4,4,4,4,3,2,2
5469,2,2,3,4,1,2,2,2,6,3,2,2,3,3,-2,3,3,3,3,2,3,3,-2,3,3,3,3,2,2,8,8,2,4,2,2
5470,3,3,2,4,4,3,2,3,2,3,1,2,2,3,2,3,2,2,2,2,2,3,2,3,2,3,2,4,4,2,3,3,3,2,3
5471,2,2,2,4,4,2,2,2,6,3,2,2,2,3,-2,2,3,3,2,2,2,3,2,3,1,3,2,3,3,3,2,2,3,2,2
5472,1,2,2,4,4,2,2,2,5,3,2,2,2,2,2,4,2,4,1,2,3,2,3,4,3,4,2,4,2,3,2,2,3,1,3
5473,1,2,3,2,2,2,3,2,5,3,2,2,3,2,2,2,3,3,3,2,2,2,2,2,2,3,2,4,3,2,3,2,3,2,3
5474,1,3,3,2,4,2,4,3,5,3,2,2,2,3,2,3,2,4,2,1,1,2,1,3,1,4,1,4,4,3,1,1,4,1,1
5475,3,3,3,-2,2,3,2,3,3,2,1,3,3,-2,-2,-2,3,2,3,2,2,2,2,2,2,3,3,3,3,3,3,2,3,2,2
5476,2,2,3,3,2,3,2,3,7,2,2,2,1,3,-2,4,2,3,2,2,3,3,3,3,2,3,2,3,4,2,4,2,3,2,8
5477,1,1,4,1,3,1,3,1,5,3,2,1,2,3,2,4,2,4,2,2,1,2,3,-2,2,4,3,4,4,1,4,1,4,1,4
5478,2,2,3,1,4,2,3,2,5,3,2,2,2,2,2,4,2,3,2,2,2,3,2,3,2,3,2,3,3,2,3,2,3,2,3
5479,2,2,3,2,3,2,3,2,7,2,2,1,2,3,2,2,2,3,3,2,3,2,3,2,3,2,3,3,2,2,2,2,2,2,2
5480,2,2,-2,-2,2,-2,3,3,7,2,2,3,2,3,-2,3,3,3,2,2,2,2,3,3,3,3,1,3,3,2,3,2,3,2,3
5481,1,1,3,2,3,2,3,2,5,3,2,1,2,2,2,3,2,4,2,2,2,2,2,3,2,3,2,3,3,3,2,2,3,2,3
5482,2,2,3,2,4,2,2,2,7,2,2,2,-2,3,-2,3,-2,3,-2,2,2,2,2,2,2,3,2,2,2,2,3,1,2,2,2
5483,1,1,2,2,4,1,2,2,7,2,2,1,2,2,2,3,2,4,1,1,2,3,2,3,2,3,1,4,3,3,3,2,3,2,3
5484,2,2,2,3,4,2,2,2,3,2,1,3,2,-2,-2,3,3,2,3,2,2,3,2,3,3,2,3,3,3,2,3,1,3,2,3
5485,2,3,3,4,4,3,3,3,7,2,2,2,2,3,2,3,-2,3,-2,1,1,3,1,4,2,4,2,4,3,3,3,1,3,1,3
5486,2,2,2,2,4,2,2,2,5,3,2,1,1,1,2,4,3,4,4,1,1,1,1,4,1,4,1,3,3,2,2,1,2,2,3
5487,2,3,2,3,2,3,3,2,5,3,2,-2,3,2,-2,-2,3,-2,3,2,2,2,3,2,3,3,3,3,3,3,2,3,2,2,2
5488,3,3,2,4,3,3,2,3,5,3,2,1,3,3,1,4,4,2,4,1,2,2,1,4,3,4,3,3,3,3,3,2,3,2,2
5489,3,3,2,2,3,3,3,2,1,3,1,1,1,3,2,4,2,3,2,1,2,3,2,3,1,4,1,4,3,2,2,2,3,2,2
5490,2,2,2,3,4,2,2,2,1,3,1,3,3,-2,3,-2,3,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5491,2,2,1,4,4,1,1,1,1,3,1,4,3,2,3,2,3,3,3,2,2,2,2,3,2,3,2,4,4,2,2,1,3,2,2
5492,3,2,3,2,2,2,3,2,5,3,2,3,3,3,1,3,3,3,3,2,2,2,2,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5
5493,2,2,4,3,3,2,3,2,1,3,1,2,3,3,2,3,-2,1,2,2,3,3,3,2,3,3,3,3,3,2,3,2,3,2,8
5494,2,2,3,1,2,2,2,2,1,3,1,2,2,3,2,2,2,3,2,1,1,4,1,3,1,4,3,4,4,1,3,2,3,1,2
5495,2,2,4,2,4,2,4,2,1,3,1,2,3,3,2,4,3,1,3,2,3,3,2,3,3,2,2,3,3,2,3,2,3,2,2
5496,4,4,4,4,3,4,3,3,1,3,1,3,3,-2,3,4,3,3,3,3,3,3,3,4,4,3,4,2,1,3,1,8,2,2,1
5497,3,3,3,3,3,3,3,3,1,3,1,3,3,3,3,4,3,3,3,2,2,3,2,3,2,3,2,3,3,2,3,2,3,2,3
5498,-2,3,2,3,3,3,3,3,6,3,2,-2,2,3,1,4,2,3,2,3,3,3,2,4,3,3,3,3,3,3,3,2,3,2,8
5499,4,4,3,3,3,3,2,3,1,3,1,1,2,4,2,4,1,3,2,2,2,4,2,4,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5
5500,2,2,2,2,2,2,3,2,1,3,1,2,2,3,2,3,2,3,-2,2,2,3,2,3,2,3,2,3,3,2,3,2,3,2,2
5501,3,3,3,2,3,3,3,2,1,3,1,3,4,3,2,3,3,4,3,1,2,3,2,3,2,3,3,4,4,2,4,2,3,2,3
5502,-2,3,3,2,4,3,4,2,5,3,2,2,2,3,2,4,3,4,2,3,2,3,2,3,3,4,4,2,2,3,3,1,2,1,1
5503,2,2,3,2,4,2,3,2,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5504,3,2,3,3,2,3,3,2,2,3,1,2,2,4,2,3,3,3,2,2,2,3,3,2,3,4,2,3,3,2,2,2,2,2,3
5505,2,2,3,2,4,4,4,2,5,3,2,2,2,2,2,4,2,3,2,1,1,1,1,3,2,3,2,3,3,3,3,1,3,1,3
5506,2,2,3,3,3,2,3,2,5,3,2,2,2,3,2,3,3,3,3,2,2,3,3,2,2,3,2,3,3,3,3,2,3,2,3
5507,3,2,2,2,3,3,3,2,1,3,1,2,2,3,2,4,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5508,3,3,3,2,3,3,3,2,5,3,2,2,2,3,2,3,2,3,3,2,2,3,2,3,2,4,2,3,3,2,3,2,3,2,3
5509,4,4,3,2,3,3,4,3,5,3,2,3,3,3,2,3,3,3,3,2,2,3,3,2,3,4,2,2,3,3,3,2,2,1,2
5510,3,3,3,3,3,3,3,3,5,3,2,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,2,2,2,1,2,2,1,2
5511,3,2,3,2,3,3,2,2,5,3,2,2,2,2,2,3,2,2,2,1,2,2,2,3,2,3,2,3,1,3,3,4,2,1,2
5512,2,3,4,2,3,3,3,2,1,3,1,3,2,3,2,4,3,3,3,2,2,4,2,3,2,4,-2,3,8,2,3,2,8,2,2
5513,2,3,3,2,3,2,3,2,2,3,1,2,2,3,2,4,2,4,2,2,2,4,2,4,2,3,2,4,3,2,3,2,3,1,3
5514,4,2,2,2,2,4,2,3,1,3,1,3,2,3,2,3,3,3,-2,2,3,3,2,3,2,3,3,3,3,3,3,2,3,1,3
5515,1,2,3,2,2,2,4,2,7,2,2,1,1,3,3,3,1,4,1,1,1,4,1,4,1,4,3,4,4,4,4,1,4,1,4
5516,2,2,4,1,1,4,3,3,3,2,1,1,2,3,2,3,2,3,2,1,1,4,1,4,1,4,1,4,3,3,3,1,4,1,2
5517,-3,-3,-3,-3,-3,-3,-3,-3,3,2,1,3,1,2,2,3,4,3,2,3,2,3,2,2,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5
5518,2,2,2,2,3,2,3,2,7,2,2,1,1,3,2,3,1,4,1,1,1,4,1,4,1,4,1,4,4,1,4,1,4,1,4
5519,4,4,1,4,4,4,1,4,1,3,1,3,3,3,3,3,3,2,3,3,3,2,2,2,3,3,3,3,3,3,3,2,3,2,3
5520,3,2,3,2,4,4,2,4,2,3,1,3,2,3,3,3,3,3,3,2,2,4,2,4,1,3,2,3,2,2,2,2,2,2,2
5521,3,-2,3,3,3,3,3,-2,2,3,1,2,2,3,-2,3,2,3,2,2,-2,3,3,3,2,3,2,3,3,2,3,2,3,2,3
5522,3,3,2,3,3,3,2,2,6,3,2,3,2,3,2,3,3,3,3,1,2,3,2,4,2,3,2,4,3,3,3,3,3,2,3
5523,2,2,2,2,2,2,3,2,5,3,2,-2,3,2,2,2,3,2,3,2,2,2,2,2,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5
5524,1,2,3,2,3,2,3,2,5,3,2,2,2,3,2,3,3,3,-2,2,2,2,2,3,2,3,-2,4,4,3,3,8,3,2,2
5525,2,3,2,2,3,3,3,3,1,3,1,2,2,3,2,2,2,3,2,2,2,2,2,3,2,3,2,3,3,2,3,2,3,2,3
5526,1,2,3,3,3,2,3,3,5,3,2,1,2,2,-2,4,3,3,2,1,2,2,3,3,3,3,2,2,1,3,1,3,1,2,1
5527,3,3,3,3,3,3,1,4,1,3,1,3,3,-2,-2,-2,3,3,3,4,4,4,4,4,2,2,4,1,3,3,3,3,2,3,3
5528,2,2,3,2,3,2,3,2,5,3,2,2,2,3,2,3,2,4,2,2,2,3,2,3,2,4,2,4,4,2,3,2,3,1,3
5529,4,4,4,1,4,3,3,4,1,3,1,3,-2,3,3,3,3,1,3,3,3,2,3,3,3,2,-2,2,2,2,2,2,2,2,2
5530,3,3,4,2,4,4,-2,-2,5,3,2,2,2,1,2,2,3,2,3,1,2,3,2,4,2,4,2,3,2,3,2,1,3,1,2
5531,3,3,3,2,3,3,3,3,1,3,1,2,2,3,2,3,2,3,2,2,2,2,3,2,3,3,3,3,2,3,2,2,2,2,2
5532,2,2,3,2,2,2,3,2,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,3,2,2,2,3,2,3
5533,2,3,3,3,3,4,3,3,6,3,2,-2,3,2,4,3,4,2,3,-5,-5,-5,-5,-5,-5,-5,-5,3,3,3,3,1,2,1,2
5534,2,2,3,2,3,3,2,2,1,3,1,3,2,-2,2,3,3,1,-2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5535,3,3,3,2,1,3,3,2,1,3,1,2,2,2,2,3,3,2,3,3,3,3,1,3,3,-2,3,2,1,2,3,2,1,4,2
5536,1,1,3,2,2,1,4,1,7,2,2,1,1,2,1,3,1,4,1,1,1,3,1,3,1,4,1,4,4,1,2,2,4,1,4
5537,2,2,3,2,2,3,2,3,7,2,2,3,2,2,2,3,3,2,3,1,2,3,2,3,3,3,3,1,4,3,4,1,2,1,2
5538,2,3,3,2,3,3,2,3,3,2,1,2,3,2,2,2,-2,-2,3,2,2,2,2,3,2,3,2,3,3,2,3,2,3,2,3
5539,2,2,3,1,3,2,3,2,3,2,1,2,2,3,2,2,2,2,2,1,2,3,2,2,1,3,2,-5,-5,-5,-5,-5,-5,-5,-5
5540,3,3,4,3,4,-2,4,2,1,3,1,1,2,-2,-2,4,2,3,2,3,3,2,3,3,3,3,3,4,3,2,3,3,3,3,3
5541,1,-2,3,2,4,2,3,2,5,3,2,2,2,3,2,3,3,3,3,2,2,3,1,2,2,4,2,-5,-5,-5,-5,-5,-5,-5,-5
5542,2,2,3,2,3,2,3,2,1,3,1,2,2,3,2,4,2,3,2,2,2,3,2,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5
5543,2,2,3,2,2,3,2,2,1,3,1,2,2,3,2,3,3,3,2,2,2,3,2,3,3,3,2,3,3,2,3,2,3,2,3
5544,2,3,3,2,4,3,4,3,5,3,2,2,2,3,2,4,2,4,-2,2,3,4,1,4,3,4,3,4,4,1,4,1,4,1,4
5545,2,2,2,3,4,4,4,3,1,3,1,2,2,2,2,4,2,4,2,2,2,2,2,3,2,3,2,3,3,3,4,2,3,1,3
5546,2,2,4,2,3,2,3,2,5,3,2,1,1,4,1,4,2,4,1,2,2,3,1,3,1,4,2,4,4,2,4,2,4,1,3
5547,1,1,3,3,3,2,4,1,6,3,2,1,2,2,2,4,2,3,2,1,2,2,2,3,2,3,2,4,4,3,4,1,4,1,3
5548,1,3,2,2,3,3,4,2,5,3,2,2,3,3,2,3,3,3,2,4,3,3,3,4,4,4,3,3,2,3,2,2,2,2,8
5549,3,2,2,3,4,3,1,3,5,3,2,2,2,3,2,3,2,3,2,2,2,3,2,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5
5550,2,3,4,3,3,3,4,4,5,3,2,2,3,3,2,4,1,4,3,1,1,4,1,4,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5
5551,2,3,2,2,3,2,3,2,5,3,2,2,2,3,2,3,2,3,2,2,2,2,2,2,2,3,2,3,3,3,3,3,3,2,3
5552,2,2,3,2,2,3,2,3,1,3,1,3,3,2,2,3,2,3,3,2,3,3,2,3,3,2,3,3,2,8,3,2,2,2,2
5553,2,2,3,2,1,3,3,2,5,3,2,1,2,3,2,3,2,3,2,1,2,-2,2,-2,2,3,2,4,4,8,3,2,3,2,3
5554,3,3,2,3,3,4,2,3,1,3,1,4,3,1,4,3,4,1,3,2,1,3,2,3,2,3,1,3,3,2,3,1,3,2,8
5555,2,2,4,2,3,2,3,2,5,3,2,2,2,3,2,3,2,3,2,2,2,3,1,3,2,3,2,3,3,2,3,2,3,2,3
5556,2,-3,4,2,2,2,3,3,2,3,1,3,2,3,-2,3,3,3,-2,2,2,3,2,3,2,2,2,3,8,2,8,2,2,1,2
5557,1,2,4,1,3,2,4,2,5,3,2,1,2,2,2,4,2,3,1,1,2,4,2,4,1,3,2,4,3,2,3,1,4,1,3
5558,2,4,4,2,4,3,3,-2,1,3,1,2,2,-2,2,3,2,3,2,2,2,3,2,3,2,3,2,3,3,3,3,2,3,2,3
5559,2,2,3,2,3,2,3,2,5,3,2,2,-2,-2,2,3,3,2,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5560,1,2,3,3,3,2,3,3,6,3,2,2,2,3,2,3,2,3,3,2,2,3,2,3,2,3,2,8,8,2,3,2,4,2,4
5561,3,2,2,3,3,2,3,2,6,3,2,2,2,2,2,4,2,4,3,1,-2,4,4,4,1,4,-2,4,4,4,4,1,4,1,4
5562,2,3,3,2,2,2,3,3,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5563,2,2,4,4,1,2,1,2,6,3,2,-5,-5,-5,-5,-5,-5,-5,-5,1,2,2,1,4,2,4,2,-5,-5,-5,-5,-5,-5,-5,-5
5564,2,2,3,2,2,3,3,2,5,3,2,2,2,3,2,3,2,4,2,3,2,2,2,2,3,4,3,-5,-5,-5,-5,-5,-5,-5,-5
5565,2,2,3,2,3,3,2,2,5,3,2,2,2,3,1,4,2,3,2,1,2,3,2,3,2,3,2,4,1,3,3,2,3,2,3
5566,3,2,3,2,3,2,3,2,5,3,2,2,2,3,2,4,2,3,2,1,1,3,1,4,2,4,2,3,3,3,4,1,3,2,3
5567,1,2,3,2,3,2,3,2,1,3,1,1,1,4,2,3,2,3,2,2,2,2,2,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5
5568,1,2,4,1,3,1,3,1,5,3,2,1,1,4,1,4,1,4,1,1,1,2,2,3,1,3,1,4,4,8,4,1,4,1,4
5569,2,3,3,3,4,3,3,2,1,3,1,2,2,-2,2,3,2,3,2,1,-2,3,-2,-2,2,3,-2,-5,-5,-5,-5,-5,-5,-5,-5
5570,2,2,2,2,2,3,3,2,5,3,2,1,1,3,2,3,2,3,2,1,1,4,1,3,1,4,1,-5,-5,-5,-5,-5,-5,-5,-5
5571,2,1,3,1,3,2,4,2,5,3,2,1,1,4,2,3,2,4,1,1,1,2,2,3,1,3,2,-5,-5,-5,-5,-5,-5,-5,-5
5572,1,2,4,1,4,1,4,1,5,3,2,3,2,3,1,4,3,4,1,2,2,3,2,4,2,3,2,4,4,3,3,1,3,1,2
5573,2,2,3,3,3,3,3,-2,1,3,1,3,3,3,2,3,3,2,2,2,2,3,2,2,2,3,2,4,3,3,4,2,3,1,3
5574,2,2,3,2,2,3,3,2,5,3,2,2,2,3,2,3,2,3,2,2,2,3,2,3,2,3,2,3,4,2,4,8,4,1,3
5575,2,2,3,3,3,3,2,3,5,3,2,2,2,3,2,3,3,2,3,2,2,3,2,3,3,2,3,3,3,2,2,3,2,1,3
5576,2,2,3,1,2,3,2,2,5,3,2,2,2,2,2,3,2,1,1,2,2,3,2,4,3,4,3,4,3,2,3,2,3,1,3
5577,3,3,2,2,3,3,1,4,5,3,2,2,3,2,2,-2,3,2,3,2,2,2,2,3,3,2,2,3,3,3,3,2,2,2,3
5578,2,2,3,2,2,2,3,2,5,3,2,2,3,4,2,4,2,3,2,2,2,3,2,4,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5
5579,1,2,4,1,2,2,3,2,1,3,1,1,1,4,1,4,2,4,2,2,2,3,2,-3,2,3,3,-5,-5,-5,-5,-5,-5,-5,-5
5580,2,3,2,1,2,3,3,2,1,3,1,2,2,3,2,4,2,3,2,2,2,3,2,3,2,4,2,4,3,2,3,2,4,1,4
5581,2,2,3,2,1,3,4,1,5,3,2,1,1,-2,-3,2,1,4,2,1,1,4,1,1,1,3,1,4,3,1,2,2,3,1,2
5582,2,2,4,2,4,3,2,1,5,3,2,2,2,3,2,4,3,2,2,2,2,3,2,3,3,3,2,-5,-5,-5,-5,-5,-5,-5,-5
5583,3,2,2,1,3,2,3,3,5,3,2,2,2,3,2,3,2,3,2,2,2,2,2,3,2,4,3,3,3,2,3,2,3,2,2
5584,2,3,3,3,3,3,3,3,1,3,1,2,2,4,2,2,2,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5585,2,2,2,2,3,2,3,2,1,3,1,2,2,3,2,3,2,3,-2,2,2,3,2,3,2,3,2,4,4,1,4,1,4,1,4
5586,2,2,4,1,4,1,3,3,1,3,1,1,1,3,2,4,2,4,2,2,2,3,2,3,2,3,2,3,3,1,4,2,4,1,4
5587,1,2,1,1,2,2,4,2,1,3,1,1,1,2,1,3,1,4,1,1,1,1,1,3,1,4,-3,4,4,3,3,1,4,1,4
5588,2,2,-2,2,2,2,3,-2,1,3,1,1,2,3,1,3,3,2,2,2,3,2,2,2,2,3,3,4,3,3,3,2,3,2,3
5589,1,1,4,1,4,1,3,1,5,3,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,4,3,4,3,2,3,2,4,1,3
5590,2,2,3,2,3,3,3,2,1,3,1,2,2,3,2,3,2,3,2,2,2,3,2,3,2,3,3,2,3,2,2,2,2,2,2
5591,2,2,3,2,3,2,3,2,5,3,2,2,2,3,2,3,2,3,2,1,3,1,1,3,1,3,1,3,3,3,4,2,3,2,8
5592,2,2,2,2,2,2,3,2,1,3,1,1,2,2,1,3,1,3,2,2,2,-2,2,2,2,3,2,4,3,2,3,2,3,2,3
5593,1,2,3,2,3,2,3,2,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5594,2,2,3,2,3,2,4,2,1,3,1,2,2,3,2,4,2,3,2,2,2,3,2,3,2,3,2,8,8,2,3,2,8,2,8
5595,2,4,3,3,3,3,4,3,6,3,2,2,2,3,2,3,2,3,2,1,1,4,1,3,1,4,1,4,4,1,4,1,4,1,4
5596,1,2,2,2,-2,1,3,2,6,3,2,1,2,3,1,4,1,4,1,1,1,2,2,4,3,4,2,4,3,3,4,2,4,1,4
5597,2,2,3,2,3,4,4,2,5,3,2,1,1,3,1,3,1,4,1,1,1,4,1,3,1,4,1,4,4,4,4,8,3,1,3
5598,2,3,3,2,3,4,3,2,1,3,1,2,2,3,2,4,2,3,2,2,2,3,2,4,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5
5599,2,2,3,2,3,2,3,2,2,3,1,2,2,4,2,3,2,3,2,1,1,4,1,4,2,3,1,3,3,2,3,2,3,2,3
5600,2,2,3,2,4,2,3,1,5,3,2,1,1,4,1,4,2,4,2,1,1,4,1,2,1,4,2,-5,-5,-5,-5,-5,-5,-5,-5
5601,2,1,3,3,3,3,2,4,2,3,1,-2,3,-2,-2,3,-2,4,-2,2,3,3,2,3,3,4,2,8,8,8,2,3,8,2,8
5602,3,3,2,3,2,3,2,2,2,3,1,2,3,3,3,3,2,2,2,2,2,3,2,4,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5
5603,2,3,3,2,2,3,2,3,2,3,1,2,3,3,2,2,3,2,2,2,2,3,2,2,3,2,2,4,3,2,3,2,3,2,3
5604,3,3,2,3,2,3,1,3,1,3,1,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,4,3,3,2,2,2,3,2,3
5605,3,3,3,3,3,3,3,3,5,3,2,2,3,3,2,4,4,4,3,2,2,2,2,3,2,3,3,4,4,1,3,2,3,1,3
5606,1,1,4,1,4,2,4,1,5,3,2,1,1,4,1,4,2,4,2,1,1,4,1,4,1,4,1,4,3,3,2,2,3,1,2
5607,4,3,2,4,4,4,2,3,1,3,1,2,2,4,3,4,3,4,2,1,4,1,2,4,1,3,3,3,3,2,3,2,3,2,3
5608,4,4,4,4,4,4,4,4,2,3,1,2,2,2,2,3,2,3,2,2,3,2,2,3,2,2,3,3,3,3,3,3,3,3,2
5609,2,2,2,1,4,2,4,3,6,3,2,1,2,4,2,4,2,4,2,1,2,4,2,4,1,4,2,4,4,3,3,1,4,1,4
5610,3,-3,1,-3,2,-3,3,3,1,3,1,2,-2,2,3,2,3,3,-2,2,2,2,2,3,-2,3,-2,4,3,4,3,2,3,2,8
5611,3,2,3,3,3,2,3,3,3,2,1,3,3,3,3,3,3,3,3,2,2,3,-3,3,2,3,2,3,2,2,3,2,3,2,3
5612,3,2,3,1,2,3,3,2,7,2,2,2,2,2,2,3,2,3,2,2,1,1,2,4,3,4,2,3,3,3,3,2,3,1,3
5613,1,3,3,2,4,4,3,4,3,2,1,2,2,3,2,3,3,3,3,2,2,4,2,4,4,4,3,3,3,2,3,2,3,1,3
5614,2,3,4,2,4,2,2,1,7,2,2,1,2,3,2,4,1,4,2,1,1,1,1,2,2,4,2,4,8,3,4,3,3,1,2
5615,2,2,2,2,3,2,3,2,7,2,2,1,1,4,1,4,1,1,2,1,1,4,1,4,1,3,2,4,4,1,3,1,3,1,4
5616,4,3,3,2,2,4,3,4,3,2,1,1,1,2,2,4,3,3,2,2,2,2,2,2,2,3,2,8,8,8,8,8,8,8,8
5617,3,4,3,2,4,2,1,4,3,2,1,3,2,2,3,4,3,1,4,2,2,2,2,3,2,3,1,3,3,1,3,1,3,1,3
5618,2,2,3,2,3,3,3,2,3,2,1,2,2,3,2,3,2,3,2,1,2,3,2,4,2,3,2,4,3,2,3,2,3,2,3
5619,2,2,2,2,3,3,3,3,7,2,2,1,2,3,2,4,-3,3,2,1,2,3,2,3,2,4,2,3,3,3,3,2,2,2,4
5620,2,2,3,2,3,3,3,2,5,3,2,2,1,4,1,4,2,4,2,2,2,3,2,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5
5621,3,3,3,2,3,3,3,3,1,3,1,3,3,3,3,3,3,2,2,3,3,3,2,3,3,2,2,3,3,1,2,1,1,2,3
5622,3,2,2,2,4,3,2,2,1,3,1,3,3,3,3,2,3,1,3,1,2,3,2,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5
5623,2,1,3,2,2,2,4,2,1,3,1,1,1,3,2,4,1,3,3,1,2,3,2,3,1,4,2,2,3,3,2,3,3,2,2
5624,1,1,4,1,4,2,4,1,5,3,2,1,1,2,1,4,1,3,1,1,1,2,2,4,2,4,2,4,4,2,4,1,4,1,4
5625,-2,2,3,1,3,4,2,2,1,3,1,2,2,2,2,2,2,4,3,1,1,1,1,4,1,4,1,3,2,3,2,2,2,1,2
5626,1,1,4,1,4,1,4,1,5,3,2,3,2,1,1,4,2,4,1,2,2,2,2,3,2,3,2,4,3,3,3,2,3,2,3
5627,1,1,4,1,4,1,2,1,5,3,2,1,2,4,3,2,3,3,2,3,3,2,3,2,2,3,3,3,3,3,2,2,2,1,2
5628,1,1,4,1,4,1,4,3,1,3,1,1,1,2,1,2,1,4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5629,2,3,2,3,3,3,1,3,3,2,1,2,2,2,3,3,3,3,2,2,2,-2,3,3,3,3,2,3,3,2,3,2,3,2,3
5630,2,2,3,3,3,2,3,3,3,2,1,1,3,3,3,3,3,3,1,1,3,3,2,2,1,3,1,4,2,2,3,2,3,2,3
5631,3,3,2,3,3,3,-2,2,7,2,2,1,1,2,3,3,3,2,2,2,2,3,3,3,3,4,3,3,3,4,4,2,4,3,4
5632,2,2,3,2,3,2,3,2,7,2,2,1,2,3,2,4,2,4,3,1,1,2,2,4,1,4,3,4,3,3,2,2,3,1,3
5633,1,2,4,2,3,1,3,2,3,2,1,1,2,4,2,4,1,4,2,1,1,4,2,4,2,3,2,3,4,3,3,2,3,1,3
5634,2,2,3,2,3,1,3,1,7,2,2,1,1,2,1,4,2,4,2,1,1,4,2,4,1,4,2,3,3,2,2,3,3,2,3
5635,3,3,3,2,2,4,1,3,3,2,1,2,2,4,2,4,2,-2,3,1,1,1,3,3,1,3,3,-5,-5,-5,-5,-5,-5,-5,-5
5636,2,2,3,2,2,3,4,1,3,2,1,2,2,3,2,2,3,4,-2,1,1,4,3,3,2,4,1,1,3,3,3,3,3,1,3
5637,2,2,3,3,3,2,2,3,3,2,1,2,2,3,2,4,2,3,3,2,2,3,3,3,2,3,3,3,3,3,3,2,3,2,3
5638,2,4,4,3,4,1,2,4,3,2,1,2,2,4,3,4,3,3,3,2,2,3,3,4,3,4,4,4,4,2,3,2,2,2,2
5639,2,4,3,1,3,4,3,3,3,2,1,1,4,4,4,4,4,1,1,1,4,3,4,4,2,4,1,3,3,3,2,2,3,2,3
5640,1,2,3,-2,4,3,3,4,7,2,2,2,2,4,3,4,4,3,3,1,1,1,2,4,1,4,1,4,4,4,4,2,4,1,4
5641,2,2,2,2,3,2,3,1,7,2,2,1,1,1,1,4,1,4,1,1,2,3,2,3,2,4,2,4,4,4,4,1,4,2,4
5642,2,3,2,2,2,3,3,2,3,2,1,2,4,1,4,1,4,1,3,1,1,4,1,4,1,4,1,4,4,1,4,1,4,1,4
5643,3,4,3,3,2,2,3,3,3,2,1,1,2,2,2,2,3,3,3,2,3,4,2,3,2,4,3,-5,-5,-5,-5,-5,-5,-5,-5
5644,2,2,3,2,1,1,3,3,3,2,1,3,3,3,3,4,4,4,4,3,3,2,3,3,3,3,3,2,8,2,2,2,2,2,1
